Date,Close,AdjClose,RSI14
2021-09-27,87100.0000,68499.1953,36.5319
2021-09-28,86600.0000,68105.9688,35.3788
2021-09-29,83800.0000,65903.9297,29.7211
2021-09-30,86300.0000,67870.0391,39.0874
2021-10-01,85600.0000,67319.5156,37.5773
2021-10-05,82400.0000,64802.9141,31.5723
2021-10-06,82200.0000,64645.6211,31.2363
2021-10-07,85000.0000,66847.6641,40.7436
2021-10-08,83900.0000,65982.5703,38.4920
2021-10-12,83900.0000,65982.5703,38.4920
2021-10-13,84900.0000,66769.0156,41.8784
2021-10-14,85500.0000,67240.8750,43.8751
2021-10-15,86200.0000,67791.3906,46.1973
2021-10-18,86700.0000,68184.6172,47.8569
2021-10-19,86900.0000,68341.8984,48.5406
2021-10-20,86500.0000,68027.3281,47.2073
2021-10-21,88700.0000,69757.5000,54.5945
2021-10-22,87600.0000,68892.4062,50.7692
2021-10-25,88000.0000,69206.9922,52.0840
2021-10-26,89700.0000,70543.9375,57.3029
2021-10-27,88000.0000,69206.9922,51.2871
2021-10-28,86700.0000,68184.6172,47.2059
2021-10-29,87000.0000,68420.5547,48.2298
2021-11-01,86800.0000,68263.2578,47.5674
2021-11-02,87300.0000,68656.4844,49.4368
2021-11-03,87400.0000,68735.1328,49.8221
2021-11-04,85800.0000,67476.8125,44.0394
2021-11-05,86800.0000,68263.2578,48.0944
2021-11-08,87300.0000,68656.4844,50.0436
2021-11-09,87400.0000,68735.1328,50.4444
2021-11-10,86100.0000,67712.7500,45.3504
2021-11-11,85200.0000,67004.9453,42.1751
2021-11-12,87600.0000,68892.4062,51.8556
2021-11-15,88600.0000,69678.8438,55.2196
2021-11-16,89700.0000,70543.9375,58.6428
2021-11-17,87200.0000,68577.8359,49.4000
2021-11-18,85400.0000,67162.2344,44.0203
2021-11-19,84800.0000,66690.3750,42.3642
2021-11-22,85100.0000,66926.2969,43.5085
2021-11-23,84800.0000,66690.3750,42.5977
2021-11-24,83600.0000,65746.6406,39.0739
2021-11-25,83000.0000,65274.7773,37.4076
2021-11-26,81400.0000,64016.4648,33.3263
2021-11-29,78900.0000,62050.3555,28.1571
2021-11-30,75300.0000,59219.1680,22.6974
2021-12-01,77300.0000,60792.0508,30.7330
2021-12-02,80000.0000,62915.4453,39.8267
2021-12-03,81000.0000,63701.8867,42.8209
2021-12-06,82500.0000,64881.5469,47.0750
2021-12-07,82800.0000,65117.4844,47.9097
2021-12-08,82300.0000,64724.2695,46.5909
2021-12-09,83400.0000,65589.3438,49.8610
2021-12-10,82600.0000,64960.1914,47.5793
2021-12-13,83600.0000,65746.6406,50.6212
2021-12-14,84200.0000,66218.5000,52.4057
2021-12-15,84100.0000,66139.8672,52.0680
2021-12-16,84700.0000,66611.7266,53.9842
2021-12-17,86100.0000,67712.7500,58.1849
2021-12-20,84300.0000,66297.1484,51.6557
2021-12-21,84600.0000,66533.0781,52.6101
2021-12-22,83600.0000,65746.6406,49.1283
2021-12-23,83500.0000,65668.0000,48.7806
2021-12-24,84900.0000,66769.0156,53.7187
2021-12-27,84700.0000,66611.7266,52.9336
2021-12-28,85500.0000,67240.8750,55.7214
2021-12-29,81300.0000,68893.3047,62.0751
2021-12-30,80700.0000,68384.8672,59.2575
2022-01-04,79700.0000,67537.4766,54.7936
2022-01-05,78900.0000,66859.5469,51.4541
2022-01-06,76800.0000,65080.0195,43.8920
2022-01-07,78800.0000,66774.8125,51.2416
2022-01-10,80600.0000,68300.1250,56.7346
2022-01-11,78600.0000,66605.3359,49.9951
2022-01-12,82300.0000,69740.7031,59.5648
2022-01-13,81600.0000,69147.5234,57.3295
2022-01-14,79600.0000,67452.7266,51.3949
2022-01-17,78600.0000,66605.3359,48.6814
2022-01-18,77700.0000,65842.6797,46.3115
2022-01-19,77500.0000,65673.1953,45.7781
2022-01-20,77800.0000,65927.4141,46.7684
2022-01-21,76500.0000,64825.8008,43.0955
2022-01-24,75800.0000,64232.6289,41.2184
2022-01-25,74300.0000,62961.5234,37.4536
2022-01-26,74300.0000,62961.5234,37.4536
2022-01-27,70600.0000,59826.1602,29.6947
2022-01-28,72500.0000,61436.2148,36.9212
2022-02-03,75400.0000,63893.6680,46.0383
2022-02-04,76800.0000,65080.0195,49.8097
2022-02-07,77000.0000,65249.5000,50.3436
2022-02-08,77000.0000,65249.5000,50.3436
2022-02-09,77000.0000,65249.5000,50.3436
2022-02-10,79600.0000,67452.7266,57.6573
2022-02-11,79800.0000,67622.2031,58.1677
2022-02-14,78600.0000,66605.3359,53.9645
2022-02-15,77800.0000,65927.4141,51.3029
2022-02-16,78300.0000,66351.1172,52.8676
2022-02-17,79500.0000,67367.9844,56.4815
2022-02-18,79700.0000,67537.4766,57.0723
2022-02-21,79700.0000,67537.4766,57.0723
2022-02-22,79700.0000,67537.4766,57.0723
2022-02-23,79700.0000,67537.4766,57.0723
2022-02-24,78200.0000,66266.3672,50.1977
2022-02-25,78300.0000,66351.1172,50.6248
2022-02-28,78300.0000,66351.1172,50.6248
2022-03-02,78800.0000,66774.8125,52.9633
2022-03-03,80000.0000,67791.6953,58.0933
2022-03-04,80000.0000,67791.6953,58.0933
2022-03-07,76200.0000,64571.5820,41.4791
2022-03-08,77400.0000,65588.4609,46.6664
2022-03-10,77400.0000,65588.4609,46.6664
2022-03-11,76500.0000,64825.8008,43.3259
2022-03-14,76100.0000,64486.8477,41.8907
2022-03-15,76100.0000,64486.8477,41.8907
2022-03-16,74700.0000,63300.4883,36.9255
2022-03-17,74700.0000,63300.4883,36.9255
2022-03-18,76300.0000,64656.3203,45.4892
2022-03-21,76000.0000,64402.1016,44.2754
2022-03-22,77000.0000,65249.5000,49.1465
2022-03-23,77700.0000,65842.6797,52.2905
2022-03-24,76800.0000,65080.0195,48.1673
2022-03-25,76300.0000,64656.3203,45.9973
2022-03-28,76000.0000,64402.1016,44.6962
2022-03-29,76000.0000,64402.1016,44.6962
2022-03-30,76800.0000,65080.0195,49.1451
2022-03-31,78400.0000,66435.8594,56.6552
2022-04-01,77400.0000,65588.4609,51.5329
2022-04-04,78200.0000,66266.3672,55.0353
2022-04-05,77500.0000,65673.1953,51.5266
2022-04-06,76300.0000,64656.3203,46.1006
2022-04-07,75300.0000,63808.9297,42.1201
2022-04-08,75900.0000,64317.3594,45.1786
2022-04-11,76600.0000,64910.5469,48.5919
2022-04-12,75100.0000,63639.4492,42.4874
2022-04-13,75700.0000,64147.8828,45.4400
2022-04-14,75300.0000,63808.9297,43.8247
2022-04-15,74700.0000,63300.4883,41.4448
2022-04-18,74700.0000,63300.4883,41.4448
2022-04-19,75200.0000,63724.1836,44.3647
2022-04-20,74700.0000,63300.4883,42.1037
2022-04-21,75700.0000,64147.8828,47.8304
2022-04-22,74500.0000,63131.0078,42.4093
2022-04-25,72500.0000,61436.2148,35.2404
2022-04-26,71700.0000,60758.3008,32.8484
2022-04-27,69500.0000,58894.0273,27.3505
2022-04-28,70500.0000,59741.4258,32.8520
2022-04-29,70600.0000,59826.1602,33.3951
2022-05-02,70000.0000,59317.7266,31.7363
2022-05-03,71000.0000,60165.1211,37.3242
2022-05-04,71100.0000,60249.8633,37.8719
2022-05-06,70100.0000,59402.4648,34.6145
2022-05-10,68600.0000,58131.3672,30.3918
2022-05-11,67500.0000,57199.2344,27.7211
2022-05-12,66500.0000,56351.8359,25.5251
2022-05-13,68400.0000,57961.8906,35.9130
2022-05-16,68800.0000,58300.8516,37.8775
2022-05-17,69100.0000,58555.0703,39.3785
2022-05-18,69200.0000,58639.8125,39.8997
2022-05-19,67400.0000,57114.4961,34.1994
2022-05-20,69400.0000,58809.2891,43.8058
2022-05-23,70100.0000,59402.4648,46.7368
2022-05-24,69500.0000,58894.0273,44.5900
2022-05-25,69100.0000,58555.0703,43.1664
2022-05-26,69100.0000,58555.0703,43.1664
2022-05-27,70400.0000,59656.6875,49.2709
2022-05-30,71200.0000,60334.5977,52.6420
2022-05-31,71600.0000,60673.5625,54.2780
2022-06-02,70500.0000,59741.4258,49.2403
2022-06-03,71200.0000,60334.5977,52.2758
2022-06-07,69200.0000,58639.8125,44.1516
2022-06-08,69100.0000,58555.0703,43.7852
2022-06-09,69500.0000,58894.0273,45.7254
2022-06-10,69100.0000,58555.0703,44.0867
2022-06-13,66600.0000,56436.5781,35.5189
2022-06-14,65800.0000,55758.6641,33.2895
2022-06-15,62800.0000,53216.4727,26.5575
2022-06-16,63400.0000,53724.9102,29.6228
2022-06-17,62500.0000,52962.2539,27.7517
2022-06-20,60700.0000,51436.9453,24.4283
2022-06-21,61500.0000,52114.8594,28.5251
2022-06-22,59700.0000,50589.5430,25.2132
2022-06-23,59700.0000,50589.5430,25.2132
2022-06-24,61100.0000,51775.9023,32.3033
2022-06-27,62400.0000,52877.5195,38.1654
2022-06-28,63400.0000,53724.9102,42.3042
2022-06-29,62100.0000,52623.2969,38.6796
2022-06-30,61700.0000,52284.3398,37.6118
2022-07-01,62100.0000,52623.2969,39.4131
2022-07-04,62400.0000,52877.5195,40.7938
2022-07-05,63000.0000,53385.9531,43.5638
2022-07-06,62200.0000,52708.0391,40.8214
2022-07-07,61700.0000,52284.3398,39.1621
2022-07-08,61600.0000,52199.6016,38.8222
2022-07-11,61000.0000,51691.1602,36.7606
2022-07-12,60000.0000,50843.7656,33.5618
2022-07-13,60100.0000,50928.5039,34.1786
2022-07-14,58000.0000,49148.9727,28.2477
2022-07-15,56600.0000,47962.6172,25.1183
2022-07-18,60500.0000,51267.4648,43.7972
2022-07-19,59200.0000,50165.8477,40.1977
2022-07-20,61400.0000,52030.1211,47.9882
2022-07-21,63000.0000,53385.9531,52.8036
2022-07-22,62500.0000,52962.2539,51.2081
2022-07-25,62400.0000,52877.5195,50.8770
2022-07-26,62400.0000,52877.5195,50.8770
2022-07-27,62500.0000,52962.2539,51.2426
2022-07-28,62200.0000,52708.0391,50.0393
2022-07-29,63100.0000,53470.6953,53.5624
2022-08-01,62300.0000,52792.7734,50.1753
2022-08-02,61800.0000,52369.0781,48.1269
2022-08-03,61700.0000,52284.3398,47.7075
2022-08-04,60600.0000,51352.2031,43.2424
2022-08-05,62500.0000,52962.2539,51.6584
2022-08-08,62000.0000,52538.5586,49.5751
2022-08-09,61800.0000,52369.0781,48.7286
2022-08-10,60500.0000,51267.4648,43.5261
2022-08-11,62900.0000,53301.2188,53.4147
2022-08-12,62800.0000,53216.4727,52.9982
2022-08-16,62100.0000,52623.2969,50.0565
2022-08-17,62000.0000,52538.5586,49.6327
2022-08-18,61200.0000,51860.6406,46.2582
2022-08-19,60800.0000,51521.6836,44.6246
2022-08-22,59200.0000,50165.8477,38.7322
2022-08-23,57900.0000,49064.2344,34.7207
2022-08-24,57800.0000,48979.4922,34.4253
2022-08-25,58200.0000,49318.4531,36.7434
